patient_id,file_id,file_name,md5
TCGA-44-6145,895ca581-915e-4057-b66a-dc2d5213d7e4,df2ac75d-208d-4cc1-867b-aea3e36117c6.rna_seq.augmented_star_gene_counts.tsv,da743f83b6d39a05dff925f0da155672
TCGA-44-6146,7a2e7511-e77e-4805-82a3-cb9f5939ed26,735e3d15-4df3-4162-b819-1ebc1991bfce.rna_seq.augmented_star_gene_counts.tsv,de241e6043b73a7f78859994853a80b2
TCGA-44-6147,9a64a124-9787-4378-ba01-b79aa183f25f,9a5e0fa6-a785-4d8e-bca5-43e02a3965bf.rna_seq.augmented_star_gene_counts.tsv,01b80d4c9a15f3697ce563666de5de0a
TCGA-44-6148,4a5c811e-d5d9-48d7-9bcc-4c9dc72df8f4,3f79d678-e5d5-443e-a7df-187c2acd2b2c.rna_seq.augmented_star_gene_counts.tsv,7cc33c13fc325e3a285abb18745e5789
TCGA-44-6774,3cd897bd-893e-4497-b9a5-56141816cff4,525e9185-ed15-403d-8987-93c50e4b89a1.rna_seq.augmented_star_gene_counts.tsv,aa703e7d855ef6d30195b729cdd1abbe
TCGA-44-6775,bbea4239-0ce8-4540-8818-d73d076b3aa6,3369898e-21d8-4ded-8bbc-a746b1a743ad.rna_seq.augmented_star_gene_counts.tsv,de5312b418ee15ee4d2be3ef8a80236d
TCGA-44-6776,736227d9-3cee-40ed-bdec-0e88968ef179,7623e22f-3401-47b3-be94-23f5da20ee0d.rna_seq.augmented_star_gene_counts.tsv,f1a74a7251cb845a2daba64797c8aabc
TCGA-44-6777,5f4fa91b-489e-4ac9-b685-53952f77bd7a,0bb88c14-58c0-45d8-a8f3-f41840f62d37.rna_seq.augmented_star_gene_counts.tsv,610bf6cfc175ec826bc898feead50f01
TCGA-44-6778,c5a1245e-f3c5-4f42-afd6-9b12f01a6445,facd5609-e5f0-4993-bd84-049447d60d32.rna_seq.augmented_star_gene_counts.tsv,e70ea75b06ab27626863f5d4936813cf
TCGA-44-6779,254bed99-398d-4c34-a804-67516d257e70,c63de407-f025-4939-9633-6550724be88c.rna_seq.augmented_star_gene_counts.tsv,82f16f580abc01b23457c00bbcd85eb4
TCGA-44-7659,0737eb23-c066-4522-8f5c-dbb4b3b516b0,a0c9ebdf-951b-4d8d-aa79-3ff1c82342cd.rna_seq.augmented_star_gene_counts.tsv,344cd663e35a9e4746e58f3a92188710
TCGA-44-7660,d52fa71c-9f59-407e-8481-d0ac47ba88b2,4933c476-e3f3-45b0-b158-dcbe0539644e.rna_seq.augmented_star_gene_counts.tsv,98591d77bf99c7e5109d1cca4b929839
TCGA-44-7661,906a6a3f-91ce-4433-9a0d-e010a61782f0,f602ef77-0db5-47af-b259-e551c77a4281.rna_seq.augmented_star_gene_counts.tsv,741de299eaef98ea84c1e276703b1084
TCGA-44-7662,ea47f0f6-aad1-4149-afb6-2026f64935f5,dd20e202-a63c-4281-85c7-f16096212a91.rna_seq.augmented_star_gene_counts.tsv,80fe4f8352e37b4b8f763060df073772
TCGA-44-7667,89bf9c33-c1b4-4786-821f-802cf36eed43,2a53d9f7-430a-45c5-9171-8ee65dc560dd.rna_seq.augmented_star_gene_counts.tsv,e60e754c99194b675d97bbadf45cce3a
TCGA-44-7669,9ffe8343-d98f-4c5f-b29a-cbcbdac0c008,8536c3c1-1e75-4ebc-b792-30d7d228a117.rna_seq.augmented_star_gene_counts.tsv,c21ca32afb67a4dab1ec6d808c21afb9
TCGA-44-7670,c69e8ef1-57a7-439a-9b05-66f14b019322,be547f27-5157-4947-ad2a-c9d006dedabd.rna_seq.augmented_star_gene_counts.tsv,716af72b7c7e06d22067f087ffe74a60
TCGA-44-7671,1a4c524e-8e75-436e-8ccf-cce6ae3d6eb3,3b5d9bee-5e4f-4afc-b297-2f072ef18a93.rna_seq.augmented_star_gene_counts.tsv,de619dd185ce4019e4c472a26b761747
TCGA-44-7672,475fdbbb-3d3a-4d56-8d0e-34dfb8cb6346,5f74c5cb-1127-4a5c-975e-58e5abc4db03.rna_seq.augmented_star_gene_counts.tsv,a2401a616eb79a13863b6f1b63d0d7ed
TCGA-44-8119,e585878b-98af-4e3f-b03c-6b5a4e7a202c,45310b76-8ea1-4d13-9d9f-1f1d874e0285.rna_seq.augmented_star_gene_counts.tsv,09a0a192d9a96a3b004cb9d1c05aefb9
TCGA-44-A479,850bb68e-cea7-4d66-b044-24dbef74e255,d737cd97-619a-4fc3-9ae2-87e1f4b19beb.rna_seq.augmented_star_gene_counts.tsv,670bc0043db7dc4624db1eb7a3be77ab
TCGA-44-A47A,2bbe47a1-f055-43e7-94d3-06aafb5af6e8,4f8b284e-7e42-45c5-b7cc-57cc678ec3df.rna_seq.augmented_star_gene_counts.tsv,ff5dd71ceb95be5107ecbf1b2ef3f202
TCGA-44-A47B,ca34be5f-799c-4df4-af91-ec8a9e958d6c,fe770b01-42c9-48c6-97f8-09f18a374350.rna_seq.augmented_star_gene_counts.tsv,2dc56687d6d13017d3cf28b874be1c46
TCGA-44-A47G,38ec487d-0a4a-4287-9c14-4bfdb959b402,32675d71-6f79-4b8f-ab7c-e2350b15875c.rna_seq.augmented_star_gene_counts.tsv,27afb72bae1bc85f4df940514d7490d2
TCGA-44-A4SS,de18a680-86a5-4319-a332-42227d490aa5,61807b4d-bbab-4ea8-a904-35c562ec6c29.rna_seq.augmented_star_gene_counts.tsv,876fc21be1ad60c90aaf7d515972a3c2
TCGA-44-A4SU,5caf3127-967f-4d07-b49d-7126728e2048,1d7be20b-b4ca-47bb-9552-689f2e3ff0f7.rna_seq.augmented_star_gene_counts.tsv,40c6fe8905f979c9b4741b4ffa69cc6a
TCGA-49-4487,42be8d70-f8a0-49ea-94a9-58e320337843,eecb4e6b-6916-4673-815b-9a5366fe3a86.rna_seq.augmented_star_gene_counts.tsv,e22a268f8e146bfae970f289026d8f88
TCGA-49-4488,e824e07e-86cd-43eb-8f36-c60f36194f3c,bae79640-8273-42a2-913e-3d29e00ccc4f.rna_seq.augmented_star_gene_counts.tsv,6567d9cc847c7cf2e6109e47d0ef4b70
TCGA-49-4490,2f2cc9dc-1d0a-4302-b674-02d56c259ff3,8dc8ccd2-a842-4a48-a8db-007855733fc0.rna_seq.augmented_star_gene_counts.tsv,2f611c504c268ded62d5f6fb8ae9b629
TCGA-49-4494,3c0ce8a7-a730-4f1a-9e03-335b3e36849b,e2f47d3a-0e1a-47cb-a53f-697e2a3cb89b.rna_seq.augmented_star_gene_counts.tsv,809235e19457da6800281acc0056037e
TCGA-49-4501,8b55c916-963b-41d6-b7ce-7e8ccf958c80,72726dc4-fa08-4e34-9539-29ddb19dd782.rna_seq.augmented_star_gene_counts.tsv,a885ede54564e2291a817d02e8333ca6
TCGA-49-4505,b91d8293-6331-4f76-98f0-335ebce83539,330845b9-1d53-47af-8cb7-30ce5d30625d.rna_seq.augmented_star_gene_counts.tsv,5747ecf21d5548f4096ea86156030475
TCGA-49-4506,614afd6a-05ff-4914-896c-3ac4280e510d,7ec16b5a-7a86-4a22-9f1c-74d42ab1f43d.rna_seq.augmented_star_gene_counts.tsv,8ef2fa7352a300b991cc0f7e3a71c8e1
TCGA-49-4507,43b8c3f7-2d0b-4020-807d-b7386825ecc0,c6acc762-3909-4cc0-91c7-f66bc3f0e667.rna_seq.augmented_star_gene_counts.tsv,3a3f0631a5920fc99affb4599220c8ff
TCGA-49-4510,951f2356-17f4-4f4f-a8ec-855c7e93dce1,7eab2708-6708-4f8e-b238-e06007754e7e.rna_seq.augmented_star_gene_counts.tsv,9837dd0bdde68bbcbf072e4cc44d3532
TCGA-49-4512,e20ecad8-f22d-4e2d-99af-bc1be98c5128,085fd4df-27f7-4680-a0b5-8726f9eab370.rna_seq.augmented_star_gene_counts.tsv,132f5101f360a88ccfd95d9e99d7f3bb
TCGA-49-4514,85c794c1-3fd0-4a10-a613-9db7eff3c78f,2f03d42e-9735-4edb-87d9-ec443b7801a5.rna_seq.augmented_star_gene_counts.tsv,0cca0b7b820d604efba1b44160f95826
TCGA-49-6742,a03c9de0-7526-4942-8a7a-5fe03ea191f6,3ce23908-d2b9-42b0-a409-5fbd767496c2.rna_seq.augmented_star_gene_counts.tsv,733ac10a0be01831a6086753e86afd82
TCGA-49-6743,e9d3cac1-3a16-4e21-8fe8-a4944ce82cb8,e127acf3-0757-4f24-aff7-0fbe7283b9ed.rna_seq.augmented_star_gene_counts.tsv,170f3279dc7c199d7a65f88fac702997
TCGA-49-6744,1876b908-e911-464f-be23-2b4eae0a43b6,6efebff1-f165-415e-9001-45a782638785.rna_seq.augmented_star_gene_counts.tsv,69ab93a934179bda2077ed5915cc637a
TCGA-49-6745,9db8b103-5f3a-439b-993c-14879744c30a,7f9b4506-b00b-4b6f-8469-d0e4a73df1d4.rna_seq.augmented_star_gene_counts.tsv,ce4a992807ad6e324027faca1177ba8d
TCGA-49-6761,5b99d571-43d2-4d26-9a3b-0a299a0ce048,60cc41cd-a0af-4cad-a4be-253781e2f0b8.rna_seq.augmented_star_gene_counts.tsv,8b62fcc48ef1b4143da81fe3b74cf6dd
TCGA-49-6767,38cc1ced-6874-4aed-ab73-8c6344564cd6,d0f1d923-1014-4a12-824b-9939fd75f9b1.rna_seq.augmented_star_gene_counts.tsv,2989a65bbd9f6f15884be052ebdbf828
TCGA-49-AAQV,d05a80fc-d08a-47df-b7cd-0172b9977d46,38fbb0e8-cd18-425d-becf-791c8e8a8911.rna_seq.augmented_star_gene_counts.tsv,bf467fb87a0431608932b9b41be6d157
TCGA-49-AAR0,cc640c34-516e-4cd8-a32c-d6f9b856696d,57512aba-e397-4ab8-b1ed-de197e6f92fd.rna_seq.augmented_star_gene_counts.tsv,6e514737bc74c82deab0fc4b1d6649c5
TCGA-49-AAR3,842cb3d6-6ca5-4924-a7bb-98720352b548,0ba8665b-be52-4288-838a-8f5d189f809d.rna_seq.augmented_star_gene_counts.tsv,203bcd9ab4efdad03d8b9a84c5353a3c
TCGA-49-AAR4,3ceb828a-3612-46e8-89c5-397cb20e5356,f1eb1ef7-fe25-4dd8-abed-9d9c298d72fb.rna_seq.augmented_star_gene_counts.tsv,c2c75dc4e39ae5732e10b50ab93bfd61
TCGA-49-AAR9,1bcb7da3-a08e-4f9d-a960-fe7bdfe4222c,7edd63ce-c5bb-4209-b8c8-98af0fae03ed.rna_seq.augmented_star_gene_counts.tsv,be54ea976ef2973cbe4920dea64398de
TCGA-49-AARE,4089d037-ab25-47a6-be68-19742473cbc6,50c308c9-922a-4083-ae09-e5e4d8c437af.rna_seq.augmented_star_gene_counts.tsv,168c5577e8da0154d7e4a2d823f394c2
